qa_run_id,batch_id,revision_id,parent_run_id,source_hash,rubric_hash,scope_hash,product_count,status,canonical,supersedes,superseded_by,registry_status,created_at,result_xlsx,result_md,manifest
QA-20260907-AGENT-B024,B024,,,,,,,QA_FAIL,False,,,LEGACY,,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B024\SEO_QA_B024.xlsx,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B024\SEO_QA_B024.md,
QA-20260907-AGENT-B025,B025,,,,,,,QA_FAIL,False,,,LEGACY,,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B025\SEO_QA_B025.xlsx,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B025\SEO_QA_B025.md,
QA-20260907-AGENT-B026,B026,,,,,,,QA_FAIL,False,,,LEGACY,,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B026\SEO_QA_B026.xlsx,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B026\SEO_QA_B026.md,
QA-20260907-AGENT-B027,B027,,,,,,,QA_FAIL,False,,,LEGACY,,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B027\SEO_QA_B027.xlsx,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B027\SEO_QA_B027.md,
QA-20260907-AGENT-B028,B028,,,,,,,QA_FAIL,False,,,LEGACY,,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B028\SEO_QA_B028.xlsx,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B028\SEO_QA_B028.md,
QA-20260907-AGENT-B029,B029,,,,,,,QA_FAIL,False,,,LEGACY,,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B029\SEO_QA_B029.xlsx,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B029\SEO_QA_B029.md,
QA-20260907-AGENT-B030,B030,,,,,,,QA_FAIL,False,,,LEGACY,,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B030\SEO_QA_B030.xlsx,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B030\SEO_QA_B030.md,
QA-20260907-AGENT-B031,B031,,,,,,,QA_FAIL,False,,,LEGACY,,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B031\SEO_QA_B031.xlsx,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B031\SEO_QA_B031.md,
QA-20260907-AGENT-B032,B032,,,,,,,QA_REVISE,False,,,LEGACY,,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B032\SEO_QA_B032.xlsx,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B032\SEO_QA_B032.md,
QA-20260907-AGENT-B033,B033,,,,,,,QA_FAIL,False,,,LEGACY,,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B033\SEO_QA_B033.xlsx,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B033\SEO_QA_B033.md,
